=== GPU-AWARE EXPERIMENT SCHEDULER ===
[ROOT] /home/tahiti/PromptStressLab
[PYTHON_BIN] /home/tahiti/Forensics/.venv_forensics/bin/python
[ALLOWED_GPUS] [0]
[MAX_PARALLEL_MODELS] 1
[POLL_SECONDS] 30
[MAX_START_UTILIZATION] 20
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2805, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2805, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2804, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2804, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=88% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2803, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=87% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2803, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2803, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2802, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2801, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=90% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2801, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=87% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2801, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=88% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2801, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=88% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2800, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=83% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2799, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=87% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2799, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=87% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2799, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2798, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=83% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2797, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2797, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.7GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2797, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=89% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2796, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2796, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=83% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2795, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=82% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2795, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2795, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2795, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2794, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=83% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2794, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=82% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2793, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2792, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=83% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2792, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=87% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2791, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=89% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2790, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2790, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=83% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2790, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=82% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2789, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2789, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.7GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2789, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=88% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2788, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=90% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2788, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=87% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2787, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=83% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2787, qwen3_8b=2842
