model_id,dataset,phase,condition,documents,entity_exact_f1_mean,entity_exact_f1_median,entity_exact_f1_std,entity_exact_f1_p95,entity_partial_f1_mean,entity_partial_f1_median,entity_partial_f1_std,entity_partial_f1_p95,relation_exact_f1_mean,relation_exact_f1_median,relation_exact_f1_std,relation_exact_f1_p95,hallucinated_entity_rate_mean,hallucinated_entity_rate_median,hallucinated_entity_rate_std,hallucinated_entity_rate_p95,prompt_tokens_mean,prompt_tokens_median,prompt_tokens_std,prompt_tokens_p95,output_tokens_mean,output_tokens_median,output_tokens_std,output_tokens_p95,seconds_per_item_in_batch_mean,seconds_per_item_in_batch_median,seconds_per_item_in_batch_std,seconds_per_item_in_batch_p95,json_valid_mean,json_valid_median,json_valid_std,json_valid_p95,schema_valid_mean,schema_valid_median,schema_valid_std,schema_valid_p95,truncated_at_limit_mean,truncated_at_limit_median,truncated_at_limit_std,truncated_at_limit_p95
mistral_7b_instruct_v03,SciERC,main,P6,100,0.2615529461939934,0.2666666666666666,0.16404364005910663,0.5166383701188455,0.32394367626707693,0.3333333333333333,0.17900729611516147,0.5835784313725491,0.034867188112685486,0.0,0.0667710512619854,0.1743083003952569,0.06283005883005882,0.0,0.17770705732131276,0.223611111111111,1717.79,1708.0,65.12277371677021,1829.6499999999999,351.77,294.0,155.41289775266011,738.2499999999999,61.87141634999998,52.132183,26.78722063529998,127.3693756,1.0,1.0,0.0,1.0,0.91,1.0,0.28762349126466136,1.0,0.04,0.0,0.19694638556693236,0.0
qwen3_8b,EBM-NLP,ablation,A2,84,0.1430048202857946,0.1333333333333333,0.10469458144789019,0.34999999999999987,0.22794701747015933,0.20256410256410257,0.11922159909060039,0.4787878787878786,1.0,1.0,0.0,1.0,0.009325396825396825,0.0,0.04985596324874734,0.0,728.3452380952381,729.0,135.27424122314213,1008.8999999999996,208.33333333333334,173.0,166.34630254225044,553.9999999999999,4.205615380952382,3.384321,3.245181470084716,12.052495149999986,1.0,1.0,0.0,1.0,0.9880952380952381,1.0,0.10910894511799617,1.0,0.03571428571428571,0.0,0.18669145807013007,0.0
qwen3_8b,EBM-NLP,ablation,A3,84,0.16131469201233312,0.1538461538461538,0.10373860673274025,0.3319819819819819,0.3235702856703573,0.3207142857142856,0.14066362093840667,0.531111111111111,1.0,1.0,0.0,1.0,0.059585784585784576,0.0,0.11583975545207159,0.25,607.3452380952381,608.0,135.27424122314213,887.8999999999996,303.0357142857143,250.0,170.7855307229009,731.05,6.024372940476191,4.944083,3.370604004274589,14.302233999999995,1.0,1.0,0.0,1.0,0.9523809523809523,1.0,0.21423789866216114,1.0,0.03571428571428571,0.0,0.18669145807013005,0.0
qwen3_8b,EBM-NLP,ablation,A4,84,0.17678971955997225,0.16,0.10557133765761295,0.39294117647058796,0.3249669602865665,0.3076923076923076,0.13327319128496973,0.5667953667953666,1.0,1.0,0.0,1.0,0.046867187045758464,0.0,0.10863048536688912,0.25,654.3452380952381,655.0,135.27424122314213,934.8999999999996,298.2857142857143,238.5,174.91247872906695,677.9999999999999,6.109327797619048,4.7814765,3.5792105630470576,13.670313899999998,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.023809523809523808,0.0,0.1533709949008578,0.0
qwen3_8b,EBM-NLP,ablation,A5,84,0.17453632751152157,0.16163265306122446,0.11227254159376034,0.3938461538461536,0.32125533341209594,0.2970588235294117,0.1305150552099412,0.5410557184750732,1.0,1.0,0.0,1.0,0.03636803011803011,0.0,0.07647296827291063,0.1949999999999998,863.3452380952381,864.0,135.27424122314213,1143.8999999999996,248.1904761904762,205.0,139.07417421038542,543.25,5.236601309523809,4.271118,3.016802979358762,12.017456699999991,1.0,1.0,0.0,1.0,0.9880952380952381,1.0,0.10910894511799618,1.0,0.011904761904761904,0.0,0.1091089451179962,0.0
qwen3_8b,EBM-NLP,ablation,A6,84,0.19927866655058954,0.2,0.11382816734130442,0.3814685314685313,0.3576838771492681,0.3613053613053613,0.14220704598369072,0.6139860139860138,1.0,1.0,0.0,1.0,0.010008430981820336,0.0,0.038276826763770914,0.054722222222222144,805.3452380952381,806.0,135.27424122314213,1085.8999999999996,309.7857142857143,272.0,138.43010253350047,567.7999999999998,6.380828202380953,5.5763055,2.9842009025123883,11.614662949999994,1.0,1.0,0.0,1.0,0.9761904761904762,1.0,0.1533709949008578,1.0,0.03571428571428571,0.0,0.18669145807013007,0.0
qwen3_8b,EBM-NLP,ablation_alias,A0,84,0.16470646238144346,0.1538461538461538,0.1042929364988782,0.3236756756756756,0.3254816095302381,0.3076923076923077,0.1358066774619739,0.5533033033033032,1.0,1.0,0.0,1.0,0.04639477585906157,0.0,0.10797087245745558,0.25,555.3452380952381,556.0,135.27424122314213,835.8999999999996,313.23809523809524,257.0,188.56609330236475,768.0,6.367189166666668,5.239464,3.8951531357143456,14.783695999999999,1.0,1.0,0.0,1.0,0.9761904761904762,1.0,0.1533709949008578,1.0,0.07142857142857142,0.0,0.2590861737702312,1.0
qwen3_8b,EBM-NLP,ablation_alias,A1,84,0.1541917145337433,0.14550264550264547,0.10858665126875283,0.37047413793103434,0.2918631508569583,0.25946704067321175,0.13883223618326485,0.5587586206896552,1.0,1.0,0.0,1.0,0.014101473922902492,0.0,0.05471682835354469,0.14017857142857126,610.3452380952381,611.0,135.27424122314213,890.8999999999996,285.6309523809524,197.0,218.13916083142584,768.0,5.752133107142858,4.004614,4.356681135622017,14.870985549999999,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.09523809523809523,0.0,0.2953065639704594,1.0
qwen3_8b,EBM-NLP,main,P1,191,0.17677723607582566,0.1666666666666666,0.114714545917485,0.4,0.3427554861205542,0.3333333333333332,0.14092739071799543,0.5669642857142858,1.0,1.0,0.0,1.0,0.08884799638170643,0.0,0.14177448346867466,0.41428571428571426,456.75916230366494,453.0,142.332393055758,737.5,338.69633507853405,272.0,194.00827963116686,768.0,6.827973502617802,5.364018,3.898855604294431,14.972894,1.0,1.0,0.0,1.0,0.9947643979057592,1.0,0.07235746052924216,1.0,0.07853403141361257,0.0,0.269717098659784,1.0
qwen3_8b,EBM-NLP,main,P2,191,0.17565001715304965,0.16,0.11594569361219564,0.3904761904761904,0.33450229336399906,0.3076923076923077,0.14734434342453773,0.6201923076923077,1.0,1.0,0.0,1.0,0.06675687605006976,0.0,0.12864617529161151,0.4,500.75916230366494,497.0,142.332393055758,781.5,346.282722513089,275.0,201.40784405599936,768.0,6.974622743455497,5.526896,4.112470731619324,15.678392,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.07329842931937172,0.0,0.26131068410820657,1.0
