model_id,dataset,transition,field,n,mean,median,std,p90,p95,max,bootstrap_ci_low,bootstrap_ci_high
gemma_3_12b_it,SciER,P3->P4,Task,16,0.5069985501468182,0.5500497221946716,0.5097274301476156,1.0,1.0,1.0,0.26333368858322503,0.7509920820593834
gemma_3_12b_it,SciER,P3->P4,__RELATIONS__,16,0.3118782937526703,0.10296839475631714,0.41809219699331,1.0,1.0,1.0,0.1291700598783791,0.5256103838793929
gemma_3_12b_it,SciER,P4->P5,Dataset,16,0.2539667412638664,0.006445765495300293,0.444895718855588,1.0,1.0,1.0,0.06623406214639545,0.5019255778752267
gemma_3_12b_it,SciER,P4->P5,Method,16,0.19624072685837746,0.004173308610916138,0.39924464015058553,1.0,1.0,1.0,0.014012614451348783,0.3905937750823796
gemma_3_12b_it,SciER,P4->P5,Task,16,0.5835083723068237,1.0,0.4891092923113716,1.0,1.0,1.0,0.341893311124295,0.821634192019701
gemma_3_12b_it,SciER,P4->P5,__RELATIONS__,16,0.3003706522285938,0.06428179144859314,0.4241344849764246,1.0,1.0,1.0,0.11515269335359335,0.5106671033427118
gemma_3_12b_it,SciER,P5->P6,Dataset,16,0.13366426527500153,0.007356822490692139,0.3384306680592052,0.5218475461006165,1.0,1.0,0.007489159982651472,0.3198201164603233
gemma_3_12b_it,SciER,P5->P6,Method,16,0.12769432365894318,0.0016134083271026611,0.34054775381151,0.5100820958614349,1.0,1.0,0.0021761154755949976,0.3145621375180781
gemma_3_12b_it,SciER,P5->P6,Task,16,0.19823471456766129,0.007540792226791382,0.3982915651608365,1.0,1.0,1.0,0.014577294141054154,0.3855672929435968
gemma_3_12b_it,SciER,P5->P6,__RELATIONS__,16,0.20960714295506477,0.011299341917037964,0.3941101811644197,1.0,1.0,1.0,0.030959542281925677,0.4022777247242629
gemma_3_12b_it,SciERC,P1->P2,Generic,100,0.20996628284454347,0.0,0.3977048324989105,1.0,1.0,1.0,0.1334273912757635,0.28942751400172706
gemma_3_12b_it,SciERC,P1->P2,Material,100,0.14340306222438812,0.0,0.3477268962458581,1.0,1.0,1.0,0.07633612486720086,0.2146773457974195
gemma_3_12b_it,SciERC,P1->P2,Method,100,0.2022721266746521,0.0,0.4009674785966538,1.0,1.0,1.0,0.1311719056069851,0.2817180353105068
