model_id,dataset,record_id,transition,left_condition,right_condition,field_count,psi,left_json_valid,right_json_valid,left_schema_valid,right_schema_valid,both_schema_valid,schema_break,delta_entity_exact_f1,abs_delta_entity_exact_f1,delta_entity_partial_f1,abs_delta_entity_partial_f1,delta_relation_exact_f1,abs_delta_relation_exact_f1
gemma_3_12b_it,EBM-NLP,10940525,P2->P3,P2,P3,3,0.027685681978861492,1,1,1,1,1,0,0.0765279917822291,0.0765279917822291,0.1299435028248588,0.1299435028248588,0.0,0.0
gemma_3_12b_it,EBM-NLP,10940525,P3->P4,P3,P4,3,0.005647043387095134,1,1,1,1,1,0,-0.006238859180035694,0.006238859180035694,-0.009803921568627527,0.009803921568627527,0.0,0.0
gemma_3_12b_it,EBM-NLP,10940525,P4->P5,P4,P5,3,0.02252461512883504,1,1,1,1,1,0,-0.0808823529411764,0.0808823529411764,0.020220588235294212,0.020220588235294212,0.0,0.0
gemma_3_12b_it,EBM-NLP,10940525,P5->P6,P5,P6,3,0.021195332209269207,1,1,1,1,1,0,-0.03125,0.03125,-0.09375,0.09375,0.0,0.0
gemma_3_12b_it,EBM-NLP,11099086,P1->P2,P1,P2,3,0.008448779582977295,1,1,1,1,1,0,0.2518867924528302,0.2518867924528302,0.2028301886792453,0.2028301886792453,0.0,0.0
gemma_3_12b_it,EBM-NLP,11099086,P2->P3,P2,P3,3,0.028375009695688885,1,1,1,1,1,0,-0.3018867924528302,0.3018867924528302,-0.2949354518371401,0.2949354518371401,0.0,0.0
gemma_3_12b_it,EBM-NLP,11099086,P3->P4,P3,P4,3,0.026219924290974934,1,1,1,1,1,0,0.0454545454545454,0.0454545454545454,0.2057416267942584,0.2057416267942584,0.0,0.0
gemma_3_12b_it,EBM-NLP,11099086,P4->P5,P4,P5,3,0.019981642564137776,1,1,1,1,1,0,-0.0454545454545454,0.0454545454545454,-0.1731601731601731,0.1731601731601731,0.0,0.0
gemma_3_12b_it,EBM-NLP,11099086,P5->P6,P5,P6,3,0.005195677280426025,1,1,1,1,1,0,0.0,0.0,-0.032581453634085294,0.032581453634085294,0.0,0.0
gemma_3_12b_it,EBM-NLP,11229858,P1->P2,P1,P2,3,1.9868214925130207e-08,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_3_12b_it,EBM-NLP,11229858,P2->P3,P2,P3,3,0.005513111750284831,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_3_12b_it,EBM-NLP,11229858,P3->P4,P3,P4,3,0.0012962023417154949,1,1,1,1,1,0,-0.03267973856209139,0.03267973856209139,0.06535947712418311,0.06535947712418311,0.0,0.0
gemma_3_12b_it,EBM-NLP,11229858,P4->P5,P4,P5,3,0.006618877251942952,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_3_12b_it,EBM-NLP,11229858,P5->P6,P5,P6,3,0.01605282227198283,1,1,1,1,1,0,0.0,0.0,-0.11111111111111127,0.11111111111111127,0.0,0.0
gemma_3_12b_it,EBM-NLP,1131298,P1->P2,P1,P2,3,1.9868214925130207e-08,1,1,1,1,1,0,-0.07246376811594202,0.07246376811594202,-0.0652173913043479,0.0652173913043479,0.0,0.0
gemma_3_12b_it,EBM-NLP,1131298,P2->P3,P2,P3,3,0.005946298440297444,1,1,1,1,1,0,0.18357487922705318,0.18357487922705318,0.2318840579710144,0.2318840579710144,0.0,0.0
gemma_3_12b_it,EBM-NLP,1131298,P3->P4,P3,P4,3,0.08482033014297485,1,1,1,1,1,0,-0.059829059829059894,0.059829059829059894,-0.12820512820512797,0.12820512820512797,0.0,0.0
gemma_3_12b_it,EBM-NLP,1131298,P4->P5,P4,P5,3,0.024514158566792805,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_3_12b_it,EBM-NLP,1131298,P5->P6,P5,P6,3,3.9736429850260414e-08,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_3_12b_it,EBM-NLP,11317090,P1->P2,P1,P2,3,0.004305879275004069,1,1,1,1,1,0,-0.2065217391304348,0.2065217391304348,-0.06521739130434778,0.06521739130434778,0.0,0.0
gemma_3_12b_it,EBM-NLP,11317090,P2->P3,P2,P3,3,0.016568303108215332,1,1,1,1,1,0,0.16060337178349599,0.16060337178349599,0.05501330967169471,0.05501330967169471,0.0,0.0
gemma_3_12b_it,EBM-NLP,11317090,P3->P4,P3,P4,3,0.03165163596471151,1,1,1,1,1,0,0.0340136054421768,0.0340136054421768,-0.10884353741496594,0.10884353741496594,0.0,0.0
gemma_3_12b_it,EBM-NLP,11317090,P4->P5,P4,P5,3,0.031156222025553387,1,1,1,1,1,0,0.0,0.0,0.09523809523809512,0.09523809523809512,0.0,0.0
gemma_3_12b_it,EBM-NLP,11317090,P5->P6,P5,P6,3,0.04435312747955322,1,1,1,1,1,0,-0.175595238095238,0.175595238095238,-0.3511904761904761,0.3511904761904761,0.0,0.0
gemma_3_12b_it,EBM-NLP,11381289,P1->P2,P1,P2,3,1.9868214925130207e-08,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_3_12b_it,EBM-NLP,11381289,P2->P3,P2,P3,3,0.0008479754130045573,1,1,1,1,1,0,0.0,0.0,-0.09523809523809523,0.09523809523809523,0.0,0.0
gemma_3_12b_it,EBM-NLP,11381289,P3->P4,P3,P4,3,0.016696453094482422,1,1,1,1,1,0,0.020050125313283207,0.020050125313283207,-0.1704260651629073,0.1704260651629073,0.0,0.0
gemma_3_12b_it,EBM-NLP,11381289,P4->P5,P4,P5,3,0.04389252265294393,1,1,1,1,1,0,0.08947368421052629,0.08947368421052629,0.18947368421052632,0.18947368421052632,0.0,0.0
gemma_3_12b_it,EBM-NLP,11381289,P5->P6,P5,P6,3,0.003306428591410319,1,1,1,1,1,0,-0.09999999999999998,0.09999999999999998,0.0,0.0,0.0,0.0
gemma_3_12b_it,EBM-NLP,11401641,P1->P2,P1,P2,3,0.02148514986038208,1,1,1,1,1,0,-0.34150943396226413,0.34150943396226413,-0.34150943396226413,0.34150943396226413,0.0,0.0
gemma_3_12b_it,EBM-NLP,11401641,P2->P3,P2,P3,3,0.0,1,1,1,1,1,0,0.04146341463414632,0.04146341463414632,0.04146341463414632,0.04146341463414632,0.0,0.0
gemma_3_12b_it,EBM-NLP,11401641,P3->P4,P3,P4,3,0.019399245580037434,1,1,1,1,1,0,0.0771412365286443,0.0771412365286443,0.0771412365286443,0.0771412365286443,0.0,0.0
