model_id,dataset,transition,grouping,target,n,spearman_rho,p_value,p_holm,significant_holm_005
mistral_7b_instruct_v03,EBM-NLP,P2->P3,model_id+dataset+transition,delta_entity_exact_f1,191,-0.07182638822067426,0.3234366267906512,1.0,0
mistral_7b_instruct_v03,EBM-NLP,P2->P3,model_id+dataset+transition,abs_delta_entity_exact_f1,191,0.5633442336453067,2.1823006280523112e-17,7.85628226098832e-16,1
mistral_7b_instruct_v03,EBM-NLP,P2->P3,model_id+dataset+transition,delta_entity_partial_f1,191,0.0280026393120149,0.7005788526068342,1.0,0
mistral_7b_instruct_v03,EBM-NLP,P2->P3,model_id+dataset+transition,abs_delta_entity_partial_f1,191,0.6215678716588555,8.410887191031499e-22,3.0279193887713396e-20,1
mistral_7b_instruct_v03,EBM-NLP,P2->P3,model_id+dataset+transition,delta_relation_exact_f1,191,,,,0
mistral_7b_instruct_v03,EBM-NLP,P2->P3,model_id+dataset+transition,abs_delta_relation_exact_f1,191,,,,0
mistral_7b_instruct_v03,EBM-NLP,P3->P4,model_id+dataset+transition,delta_entity_exact_f1,191,0.005379778731173476,0.9411197955728704,1.0,0
mistral_7b_instruct_v03,EBM-NLP,P3->P4,model_id+dataset+transition,abs_delta_entity_exact_f1,191,0.24256227595184335,0.0007224731011904501,0.0057797848095236005,1
mistral_7b_instruct_v03,EBM-NLP,P3->P4,model_id+dataset+transition,delta_entity_partial_f1,191,-0.14850409185550612,0.04033735498811266,1.0,0
mistral_7b_instruct_v03,EBM-NLP,P3->P4,model_id+dataset+transition,abs_delta_entity_partial_f1,191,0.2866686617595502,5.806408452910455e-05,0.0007548330988783592,1
mistral_7b_instruct_v03,EBM-NLP,P3->P4,model_id+dataset+transition,delta_relation_exact_f1,191,,,,0
mistral_7b_instruct_v03,EBM-NLP,P3->P4,model_id+dataset+transition,abs_delta_relation_exact_f1,191,,,,0
mistral_7b_instruct_v03,EBM-NLP,P4->P5,model_id+dataset+transition,delta_entity_exact_f1,191,-0.13679105671701133,0.05916571459884384,1.0,0
mistral_7b_instruct_v03,EBM-NLP,P4->P5,model_id+dataset+transition,abs_delta_entity_exact_f1,191,0.2768846763009962,0.0001054965658914886,0.0012659587906978633,1
mistral_7b_instruct_v03,EBM-NLP,P4->P5,model_id+dataset+transition,delta_entity_partial_f1,191,-0.17474173108132807,0.01561646763671146,0.6090422378317469,0
mistral_7b_instruct_v03,EBM-NLP,P4->P5,model_id+dataset+transition,abs_delta_entity_partial_f1,191,0.383861472620889,4.212356648212576e-08,7.16100630196138e-07,1
mistral_7b_instruct_v03,EBM-NLP,P4->P5,model_id+dataset+transition,delta_relation_exact_f1,191,,,,0
mistral_7b_instruct_v03,EBM-NLP,P4->P5,model_id+dataset+transition,abs_delta_relation_exact_f1,191,,,,0
mistral_7b_instruct_v03,EBM-NLP,P5->P6,model_id+dataset+transition,delta_entity_exact_f1,191,0.08071864903535976,0.2669803030899135,1.0,0
mistral_7b_instruct_v03,EBM-NLP,P5->P6,model_id+dataset+transition,abs_delta_entity_exact_f1,191,0.5628235237270778,2.3688824978543795e-17,8.291088742490328e-16,1
mistral_7b_instruct_v03,EBM-NLP,P5->P6,model_id+dataset+transition,delta_entity_partial_f1,191,-0.030724712562915365,0.6730715419811503,1.0,0
mistral_7b_instruct_v03,EBM-NLP,P5->P6,model_id+dataset+transition,abs_delta_entity_partial_f1,191,0.7439643322346554,6.301797651165103e-35,2.7097729900009942e-33,1
mistral_7b_instruct_v03,EBM-NLP,P5->P6,model_id+dataset+transition,delta_relation_exact_f1,191,,,,0
mistral_7b_instruct_v03,EBM-NLP,P5->P6,model_id+dataset+transition,abs_delta_relation_exact_f1,191,,,,0
mistral_7b_instruct_v03,SciER,P1->P2,model_id+dataset+transition,delta_entity_exact_f1,16,0.22882842505785267,0.39395832685357157,1.0,0
