model_id,dataset,transition,field,variant,paired_documents,dropout_events,idr,idr_ci_low,idr_ci_high
gemma_3_12b_it,SciER,P5->P6,Method,valid_only,14,0,0.0,0.0,0.0
gemma_3_12b_it,SciER,P5->P6,Method,inclusive,16,1,0.0625,0.0,0.1875
gemma_3_12b_it,SciER,P5->P6,Task,valid_only,14,1,0.07142857142857142,0.0,0.21428571428571427
gemma_3_12b_it,SciER,P5->P6,Task,inclusive,16,2,0.125,0.0,0.3125
gemma_3_12b_it,SciER,P5->P6,__ANY_FIELD__,valid_only,14,1,0.07142857142857142,0.0,0.21428571428571427
gemma_3_12b_it,SciER,P5->P6,__ANY_FIELD__,inclusive,16,2,0.125,0.0,0.3125
gemma_3_12b_it,SciERC,P1->P2,Generic,valid_only,53,1,0.018867924528301886,0.0,0.05660377358490566
gemma_3_12b_it,SciERC,P1->P2,Generic,inclusive,100,4,0.04,0.01,0.08
gemma_3_12b_it,SciERC,P1->P2,Material,valid_only,53,0,0.0,0.0,0.0
gemma_3_12b_it,SciERC,P1->P2,Material,inclusive,100,3,0.03,0.0,0.07
gemma_3_12b_it,SciERC,P1->P2,Method,valid_only,53,2,0.03773584905660377,0.0,0.09433962264150944
gemma_3_12b_it,SciERC,P1->P2,Method,inclusive,100,6,0.06,0.02,0.11
gemma_3_12b_it,SciERC,P1->P2,Metric,valid_only,53,6,0.11320754716981132,0.03773584905660377,0.20754716981132076
gemma_3_12b_it,SciERC,P1->P2,Metric,inclusive,100,9,0.09,0.04,0.15
gemma_3_12b_it,SciERC,P1->P2,OtherScientificTerm,valid_only,53,0,0.0,0.0,0.0
gemma_3_12b_it,SciERC,P1->P2,OtherScientificTerm,inclusive,100,4,0.04,0.01,0.08
gemma_3_12b_it,SciERC,P1->P2,Task,valid_only,53,2,0.03773584905660377,0.0,0.09433962264150944
gemma_3_12b_it,SciERC,P1->P2,Task,inclusive,100,5,0.05,0.01,0.1
gemma_3_12b_it,SciERC,P1->P2,__ANY_FIELD__,valid_only,53,11,0.20754716981132076,0.11320754716981132,0.32075471698113206
gemma_3_12b_it,SciERC,P1->P2,__ANY_FIELD__,inclusive,100,15,0.15,0.08,0.22
gemma_3_12b_it,SciERC,P2->P3,Generic,valid_only,63,4,0.06349206349206349,0.015873015873015872,0.12698412698412698
gemma_3_12b_it,SciERC,P2->P3,Generic,inclusive,100,7,0.07,0.03,0.13
gemma_3_12b_it,SciERC,P2->P3,Material,valid_only,63,1,0.015873015873015872,0.0,0.047619047619047616
gemma_3_12b_it,SciERC,P2->P3,Material,inclusive,100,3,0.03,0.0,0.07
gemma_3_12b_it,SciERC,P2->P3,Method,valid_only,63,0,0.0,0.0,0.0
gemma_3_12b_it,SciERC,P2->P3,Method,inclusive,100,3,0.03,0.0,0.07
gemma_3_12b_it,SciERC,P2->P3,Metric,valid_only,63,1,0.015873015873015872,0.0,0.047619047619047616
gemma_3_12b_it,SciERC,P2->P3,Metric,inclusive,100,2,0.02,0.0,0.05
gemma_3_12b_it,SciERC,P2->P3,OtherScientificTerm,valid_only,63,0,0.0,0.0,0.0
gemma_3_12b_it,SciERC,P2->P3,OtherScientificTerm,inclusive,100,4,0.04,0.01,0.08
gemma_3_12b_it,SciERC,P2->P3,Task,valid_only,63,1,0.015873015873015872,0.0,0.047619047619047616
gemma_3_12b_it,SciERC,P2->P3,Task,inclusive,100,5,0.05,0.01,0.1
gemma_3_12b_it,SciERC,P2->P3,__ANY_FIELD__,valid_only,63,6,0.09523809523809523,0.031746031746031744,0.1746031746031746
gemma_3_12b_it,SciERC,P2->P3,__ANY_FIELD__,inclusive,100,10,0.1,0.05,0.16
gemma_3_12b_it,SciERC,P3->P4,Generic,valid_only,71,33,0.4647887323943662,0.352112676056338,0.5774647887323944
gemma_3_12b_it,SciERC,P3->P4,Generic,inclusive,100,33,0.33,0.24,0.43
gemma_3_12b_it,SciERC,P3->P4,Material,valid_only,71,1,0.014084507042253521,0.0,0.04225352112676056
gemma_3_12b_it,SciERC,P3->P4,Material,inclusive,100,1,0.01,0.0,0.03
gemma_3_12b_it,SciERC,P3->P4,Method,valid_only,71,0,0.0,0.0,0.0
gemma_3_12b_it,SciERC,P3->P4,Method,inclusive,100,0,0.0,0.0,0.0
gemma_3_12b_it,SciERC,P3->P4,Metric,valid_only,71,7,0.09859154929577464,0.04225352112676056,0.18309859154929578
gemma_3_12b_it,SciERC,P3->P4,Metric,inclusive,100,7,0.07,0.02,0.12
