model_id,dataset,record_id,transitions,mean_psi,median_psi,p95_psi,max_psi,schema_breaks
gemma_3_12b_it,EBM-NLP,16167234,5,0.21209423542022704,0.018836259841918945,0.8055986324946084,1.0,0
gemma_3_12b_it,EBM-NLP,16295154,5,0.14395217498143514,0.016217132409413654,0.35120088259379073,0.3519919315973918,0
gemma_3_12b_it,EBM-NLP,16427787,5,0.026611196994781493,0.026747723420461018,0.044742540518442786,0.0485913356145223,0
gemma_3_12b_it,EBM-NLP,16505427,5,0.013651816050211587,0.010579526424407959,0.028771464029947916,0.0301285982131958,0
gemma_3_12b_it,EBM-NLP,1669598,5,0.02642188469568888,0.018816133340199787,0.04592700401941935,0.04840783278147379,0
gemma_3_12b_it,EBM-NLP,17293018,5,0.011739814281463623,0.011544525623321533,0.023310077190399167,0.025837103525797527,0
gemma_3_12b_it,EBM-NLP,17321989,5,0.027433788776397704,0.029282331466674805,0.041134655475616455,0.042593419551849365,0
gemma_3_12b_it,EBM-NLP,17616069,5,0.023040302594502765,0.030564407507578533,0.03707508643468221,0.03746825456619263,0
gemma_3_12b_it,EBM-NLP,1780092,5,0.01619785626729329,0.012817482153574625,0.03728617032368978,0.04299527406692505,0
gemma_3_12b_it,EBM-NLP,17897478,5,0.005779822667439778,0.0008280078570048014,0.016234306494394935,0.018018027146657307,0
gemma_3_12b_it,EBM-NLP,18077611,5,0.010190228621164959,0.0016594131787618,0.028881760438283284,0.03192563851674398,0
gemma_3_12b_it,EBM-NLP,18189160,5,0.21190536419550576,0.025956531365712483,0.8067140579223631,1.0,0
gemma_3_12b_it,EBM-NLP,18229990,5,0.0060303966204325364,0.0030202865600585938,0.014909577369689942,0.015805403391520183,0
gemma_3_12b_it,EBM-NLP,18337284,5,0.019911468029022217,0.020552098751068115,0.033877269426981604,0.0360335111618042,0
gemma_3_12b_it,EBM-NLP,18503531,5,0.00479585329691569,0.0008615454037984213,0.017460612456003822,0.021395126978556316,0
gemma_3_12b_it,EBM-NLP,18544974,5,0.009184221426645916,0.01170891523361206,0.01668790578842163,0.017113447189331055,0
gemma_3_12b_it,EBM-NLP,18773733,5,0.02609780232111613,0.014292120933532715,0.05741036335627238,0.06111055612564087,0
gemma_3_12b_it,EBM-NLP,18783504,5,0.022066088517506917,0.002895196278889974,0.056135658423105875,0.058430254459381104,0
gemma_3_12b_it,EBM-NLP,18845996,5,0.006766382853190105,0.008988897005716959,0.009536226590474447,0.00964583953221639,0
gemma_3_12b_it,EBM-NLP,18958161,5,0.04049467245737712,0.01626350482304891,0.08415470520655315,0.08804873625437419,0
gemma_3_12b_it,EBM-NLP,18975051,5,0.4223342339197794,0.03908224900563558,1.0,1.0,1
gemma_3_12b_it,EBM-NLP,19096921,5,0.002022091547648112,0.0013859470685323079,0.005322420597076416,0.005962530771891276,0
gemma_3_12b_it,EBM-NLP,19108790,5,0.016172468662261963,0.010691622893015543,0.03497592210769653,0.03798462947209676,0
gemma_3_12b_it,EBM-NLP,19159999,5,0.039356017112731935,0.03137584527333578,0.07466626167297362,0.08535736799240112,0
gemma_3_12b_it,EBM-NLP,19301724,5,0.0491397460301717,0.039120654265085854,0.07767222722371418,0.07805122931798299,0
gemma_3_12b_it,EBM-NLP,19376304,5,0.016881704330444336,0.01715034246444702,0.02934952179590861,0.031177202860514324,0
gemma_3_12b_it,EBM-NLP,1963383,5,0.015252621968587237,0.016025841236114502,0.03407471577326456,0.038527071475982666,0
gemma_3_12b_it,EBM-NLP,1968178,5,0.006692691644032797,1.9868214925130207e-08,0.02021330992380778,0.02253437042236328,0
gemma_3_12b_it,EBM-NLP,19708562,5,0.010043942928314209,0.005701283613840739,0.02511222759882609,0.027014235655466717,0
