model_id,phase,condition,documents,json_valid_mean,json_valid_ci_low,json_valid_ci_high,schema_valid_mean,schema_valid_ci_low,schema_valid_ci_high,entity_exact_f1_mean,entity_exact_f1_ci_low,entity_exact_f1_ci_high,entity_partial_f1_mean,entity_partial_f1_ci_low,entity_partial_f1_ci_high,relation_exact_f1_mean,relation_exact_f1_ci_low,relation_exact_f1_ci_high,hallucinated_entity_rate_mean,hallucinated_entity_rate_ci_low,hallucinated_entity_rate_ci_high,truncated_at_limit_mean,truncated_at_limit_ci_low,truncated_at_limit_ci_high,prompt_tokens_mean,prompt_tokens_ci_low,prompt_tokens_ci_high,output_tokens_mean,output_tokens_ci_low,output_tokens_ci_high,seconds_per_item_in_batch_mean,seconds_per_item_in_batch_ci_low,seconds_per_item_in_batch_ci_high
gemma_3_12b_it,main,P5,307,1.0,1.0,1.0,0.996742671009772,0.990228013029316,1.0,0.27375869200577196,0.2546278982388142,0.29124216006887865,0.41766775807733436,0.39915149361944097,0.4365988697357013,0.6592034256966367,0.613572705951022,0.7083445955313108,0.011541359914943032,0.007711984585433542,0.016185363440663743,1.0,1.0,1.0,1171.3452768729642,1071.0675895765473,1283.655618892508,834.7100977198697,805.5244299674267,868.0651465798046,40.472652524429975,37.255259266693834,43.94102098705213
gemma_3_12b_it,main,P6,307,1.0,1.0,1.0,0.993485342019544,0.9837133550488599,1.0,0.2622689124395362,0.24448632854346602,0.28201835591329255,0.3939966797291908,0.3760730982532689,0.41216586138524136,0.6585624723581119,0.6066983659737342,0.7110151673224036,0.01304682411360533,0.008468947438823836,0.018157316849301608,1.0,1.0,1.0,1335.3452768729642,1234.241938110749,1448.2870521172638,834.7100977198697,805.5244299674267,868.0651465798046,41.07294433224758,37.89105893346903,44.5370932654723
mistral_7b_instruct_v03,ablation,A2,200,1.0,1.0,1.0,0.835,0.78,0.885,0.1605301451818518,0.13995715915592594,0.1816837808198633,0.22501975732158042,0.2031746551109714,0.24888504644626547,0.43767321496426775,0.3725243738727785,0.5097108286411287,0.053970662807190255,0.0340225517367358,0.07910108278766742,0.02,0.005,0.04,1458.55,1304.684,1638.2663750000002,271.975,240.301125,308.00075,47.823840995000026,42.214376820625,53.91901700924999
mistral_7b_instruct_v03,ablation,A3,200,1.0,1.0,1.0,0.835,0.78,0.88,0.15819038431860358,0.13723390976669853,0.1795209602505378,0.25186969754456817,0.22740123746127397,0.27492061135320295,0.4296159529486255,0.3606524522939509,0.4957899818725144,0.07162549693849907,0.05562616342240175,0.08802801226914518,0.16,0.11,0.21,1015.77,860.4307499999999,1194.7702499999996,488.84,448.0745,531.70525,87.51914654500004,80.80514868937499,94.95897933387495
mistral_7b_instruct_v03,ablation,A4,200,1.0,1.0,1.0,0.83,0.775,0.88,0.1283696548089378,0.11145436437288314,0.14500729019206135,0.20126744955225523,0.18032384477330513,0.22208476657130327,0.4296079196839586,0.3617868677819498,0.4943219407314408,0.0659965139027639,0.048549890560828056,0.08482113910395161,0.16,0.11,0.215,1015.89,853.6523749999999,1199.6972499999997,467.39,429.7795,507.030375,83.51437043499996,77.01760647400006,90.88161335412501
mistral_7b_instruct_v03,ablation,A5,200,1.0,1.0,1.0,0.76,0.695,0.815,0.12177716774754574,0.10260039475587306,0.14104573638543422,0.20254453866323907,0.17814510809357775,0.22658152556439537,0.4267807352146232,0.3598422846636146,0.49321726006387145,0.07050917399593869,0.05252483158589776,0.09027058836588243,0.23,0.175,0.29,1667.01,1502.259375,1846.5052500000002,505.9,461.35200000000003,551.5531249999999,89.4758297800001,81.54780048675008,97.51127552337502
mistral_7b_instruct_v03,ablation,A6,200,1.0,1.0,1.0,0.88,0.83,0.925,0.1706825171861338,0.14911058094059987,0.19476292463902878,0.24984856783503037,0.2260197926863366,0.2742752308022903,0.4391579931913832,0.3686232456256931,0.5024152348895121,0.07114251995424596,0.04863980361421343,0.0957398351315437,0.115,0.075,0.16,1594.27,1437.429875,1772.0674999999999,429.06,391.161875,468.04237500000005,75.66527964999999,68.684013697,82.78642250724998
mistral_7b_instruct_v03,ablation_alias,A0,200,1.0,1.0,1.0,0.76,0.7,0.815,0.1092891006589924,0.09103935248220545,0.1281483546407431,0.18731758582523347,0.16425324246572734,0.21044881807355417,0.42904697193501024,0.3671732424254035,0.4991068096836213,0.07871291902541903,0.06200795836108335,0.09814793054168044,0.24,0.18,0.3,901.89,740.116125,1085.9475,508.545,464.689,554.368125,91.62852043999997,83.88532489499998,99.80311955137509
mistral_7b_instruct_v03,ablation_alias,A1,200,1.0,1.0,1.0,0.825,0.765,0.875,0.1739975989303073,0.15351219781985956,0.19530611107701565,0.2464621255687199,0.22451290773937663,0.2694029387472338,0.4387105043168523,0.3772658725585451,0.5062733090049805,0.03681604506604506,0.026183541805416818,0.04853801181457431,0.015,0.0,0.035,1108.61,954.491375,1288.7224999999999,303.665,265.249875,344.63775,53.764836115,47.420568861625,60.78646111424999
mistral_7b_instruct_v03,main,P1,307,1.0,1.0,1.0,0.8599348534201955,0.8208469055374593,0.8957654723127035,0.13266467510892765,0.11822614588319416,0.14759795811010867,0.24640425339755648,0.22726611672211786,0.26586702967459525,0.6274889548098427,0.574420434904157,0.6791178843951005,0.0677802502954276,0.05490270883185558,0.08232957099873967,0.1270358306188925,0.09120521172638436,0.16612377850162866,694.7231270358307,583.7422638436482,812.0168566775244,468.1758957654723,438.15301302931596,499.807654723127,83.655299980456,78.64496033534206,89.19278087019542
