model_id,dataset,phase,condition,documents,json_valid_mean,json_valid_ci_low,json_valid_ci_high,schema_valid_mean,schema_valid_ci_low,schema_valid_ci_high,entity_exact_f1_mean,entity_exact_f1_ci_low,entity_exact_f1_ci_high,entity_partial_f1_mean,entity_partial_f1_ci_low,entity_partial_f1_ci_high,relation_exact_f1_mean,relation_exact_f1_ci_low,relation_exact_f1_ci_high,hallucinated_entity_rate_mean,hallucinated_entity_rate_ci_low,hallucinated_entity_rate_ci_high,truncated_at_limit_mean,truncated_at_limit_ci_low,truncated_at_limit_ci_high,prompt_tokens_mean,prompt_tokens_ci_low,prompt_tokens_ci_high,output_tokens_mean,output_tokens_ci_low,output_tokens_ci_high,seconds_per_item_in_batch_mean,seconds_per_item_in_batch_ci_low,seconds_per_item_in_batch_ci_high
gemma_3_12b_it,SciER,main,P1,16,1.0,1.0,1.0,0.875,0.6875,1.0,0.11900800586386126,0.0870838616257442,0.15277460964178946,0.13834335498582429,0.10453942775646274,0.17196264658947036,0.05312356737277811,0.032468447722975836,0.07726711744682538,0.05851787101787102,0.005523989898989899,0.11638864607614596,1.0,1.0,1.0,4171.5,3306.4406249999997,5112.3390625,2048.0,2048.0,2048.0,168.21494287499996,166.2121925625,170.56408807031247
gemma_3_12b_it,SciER,main,P2,16,1.0,1.0,1.0,0.875,0.6875,1.0,0.1170644431395365,0.0832452582260284,0.1480593113067433,0.13475385618389005,0.10029609124406422,0.17115059288583662,0.05021573539293297,0.025779308185363847,0.08054159449683952,0.053856511733685206,0.008620689655172414,0.11234817813765183,1.0,1.0,1.0,4221.5,3413.109375,5204.5,2048.0,2048.0,2048.0,168.57765,166.3141150703125,171.08680720781254
gemma_3_12b_it,SciER,main,P3,16,1.0,1.0,1.0,0.5625,0.3125,0.8125,0.06141167418549281,0.033390134049217854,0.09021897350330993,0.07468175653038935,0.04110088918699533,0.1099376945108927,0.04525334596095356,0.02740977223258423,0.06377060715350065,0.03310587262200165,0.0,0.07862437965260544,1.0,1.0,1.0,4280.5,3438.5890624999997,5225.035937499998,2048.0,2048.0,2048.0,167.5074306875,165.48102245625,170.259497715625
gemma_3_12b_it,SciER,main,P4,16,1.0,1.0,1.0,0.8125,0.625,1.0,0.12271004695862449,0.08595469307122285,0.1638665159777142,0.13698835417234811,0.09639163870933992,0.1803393171059899,0.0329881198029085,0.01523157675806541,0.05017811869421987,0.14819505388312126,0.05444608590528457,0.27772684525417013,1.0,1.0,1.0,4345.5,3532.6921875000003,5378.545312499999,2048.0,2048.0,2048.0,168.55596131250002,165.970143028125,171.44343845625
gemma_3_12b_it,SciER,main,P5,16,1.0,1.0,1.0,0.9375,0.8125,1.0,0.15124191426765551,0.11626699871258842,0.18710392830237355,0.1715964166466818,0.13114277357120688,0.20898511146942406,0.042049548740726785,0.02276059660550821,0.06376780489297516,0.0948957049828729,0.055787750886644984,0.13412624378013666,1.0,1.0,1.0,4620.5,3775.9140625,5694.196875,2048.0,2048.0,2048.0,169.244323,166.82935628281245,172.046788896875
gemma_3_12b_it,SciER,main,P6,16,1.0,1.0,1.0,0.9375,0.8125,1.0,0.12915837349390574,0.09641429272401103,0.16207507158826362,0.14892761489282977,0.11392902752240122,0.18428004585286842,0.04387379867839577,0.028835721798518024,0.061450244728783424,0.11023869035686006,0.06627183476142764,0.15409059377539927,1.0,1.0,1.0,4784.5,3934.1187499999996,5802.2828125,2048.0,2048.0,2048.0,169.08845012499998,166.3848025046875,172.10317813125
gemma_3_12b_it,SciERC,ablation,A2,100,1.0,1.0,1.0,1.0,1.0,1.0,0.3863190693146131,0.355851601273155,0.4189332345383447,0.4411557615823434,0.40659557777920424,0.47519181795547594,0.10859588004137322,0.08481978651894412,0.13391194526588485,0.003927327387746945,0.0013369963369963369,0.006586402460258149,1.0,1.0,1.0,1206.76,1195.6,1218.47025,768.0,768.0,768.0,34.696176219999984,34.491134998499994,34.891501958750005
gemma_3_12b_it,SciERC,ablation,A3,100,1.0,1.0,1.0,0.72,0.63,0.81,0.27589973643392485,0.23112119270570344,0.3187739003032584,0.31527751195693315,0.26956567380961705,0.36149257713003397,0.04562880412214778,0.028315816123304506,0.06391010561563192,0.0038095238095238095,0.0007142857142857143,0.008214285714285714,1.0,1.0,1.0,611.76,600.6295,623.63275,768.0,768.0,768.0,31.822926479999996,31.547116320499995,32.10711656199999
gemma_3_12b_it,SciERC,ablation,A4,100,1.0,1.0,1.0,0.76,0.67,0.84,0.2388486416760119,0.20125524383548882,0.27567216359482133,0.28532649872520166,0.24390306775841258,0.3296962784643648,0.059658182608485474,0.03928674380723646,0.08320098076853225,0.003125,0.0005555555555555557,0.006527777777777778,1.0,1.0,1.0,579.76,568.4285,591.6907500000001,768.0,768.0,768.0,31.376687560000004,31.10782407824999,31.667716061250008
gemma_3_12b_it,SciERC,ablation,A5,100,1.0,1.0,1.0,0.81,0.73,0.88,0.24943966624639416,0.2118759042668159,0.2860253630498069,0.30082338688905585,0.26384453969193294,0.3429338180730565,0.06399594414300297,0.042255428204692906,0.08750046867620394,0.0070173288613691095,0.0021637426900584793,0.012987476350189191,1.0,1.0,1.0,1510.76,1498.9295,1522.5,768.0,768.0,768.0,34.738982500000006,34.507251260000004,34.956078029000004
